CNT,CNTRYID,SCHID,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC002Q01TA,SC002Q02TA,SC003Q01TA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q05NA,SC053Q06NA,SC053Q07TA,SC053Q08TA,SC053Q09TA,SC053Q10TA,SC053D11TA,SC059Q01NA,SC059Q02NA,SC059Q03NA,SC059Q04NA,SC059Q05NA,SC059Q06NA,SC059Q07NA,SC059Q08NA,SC052Q01NA,SC052Q02NA,SC009Q01TA,SC009Q02TA,SC009Q03TA,SC009Q04TA,SC009Q05TA,SC009Q06TA,SC009Q07TA,SC009Q08TA,SC009Q09TA,SC009Q10TA,SC009Q11TA,SC009Q12TA,SC009Q13TA,SC010Q01TA,SC010Q01TB,SC010Q01TC,SC010Q01TD,SC010Q01TE,SC010Q02TA,SC010Q02TB,SC010Q02TC,SC010Q02TD,SC010Q02TE,SC010Q03TA,SC010Q03TB,SC010Q03TC,SC010Q03TD,SC010Q03TE,SC010Q04TA,SC010Q04TB,SC010Q04TC,SC010Q04TD,SC010Q04TE,SC010Q05TA,SC010Q05TB,SC010Q05TC,SC010Q05TD,SC010Q05TE,SC010Q06TA,SC010Q06TB,SC010Q06TC,SC010Q06TD,SC010Q06TE,SC010Q07TA,SC010Q07TB,SC010Q07TC,SC010Q07TD,SC010Q07TE,SC010Q08TA,SC010Q08TB,SC010Q08TC,SC010Q08TD,SC010Q08TE,SC010Q09TA,SC010Q09TB,SC010Q09TC,SC010Q09TD,SC010Q09TE,SC010Q10TA,SC010Q10TB,SC010Q10TC,SC010Q10TD,SC010Q10TE,SC010Q11TA,SC010Q11TB,SC010Q11TC,SC010Q11TD,SC010Q11TE,SC010Q12TA,SC010Q12TB,SC010Q12TC,SC010Q12TD,SC010Q12TE,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC013Q01TA,SC014Q01NA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC019Q01NA01,SC019Q01NA02,SC019Q02NA01,SC019Q02NA02,SC019Q03NA01,SC019Q03NA02,SC025Q01NA,SC025Q02NA,SC027Q01NA,SC027Q02NA,SC027Q03NA,SC027Q04NA,SC032Q01TA,SC032Q02TA,SC032Q03TA,SC032Q04TA,SC034Q01NA,SC034Q02NA,SC034Q03TA,SC034Q04TA,SC035Q01NA,SC035Q01NB,SC035Q02TA,SC035Q02TB,SC035Q03TA,SC035Q03TB,SC035Q04TA,SC035Q04TB,SC035Q05TA,SC035Q05TB,SC035Q06TA,SC035Q06TB,SC035Q07TA,SC035Q07TB,SC035Q08TA,SC035Q08TB,SC035Q09NA,SC035Q09NB,SC035Q10TA,SC035Q10TB,SC035Q11NA,SC035Q11NB,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC040Q02NA,SC040Q03NA,SC040Q05NA,SC040Q11NA,SC040Q12NA,SC040Q15NA,SC040Q16NA,SC040Q17NA,SC041Q01NA,SC041Q03NA,SC041Q04NA,SC041Q05NA,SC041Q06NA,SC042Q01TA,SC042Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC063Q02NA,SC063Q03NA,SC063Q04NA,SC063Q06NA,SC063Q07NA,SC063Q09NA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SCHSIZE,CLSIZE,RATCMP1,RATCMP2,LEAD,LEADCOM,LEADINST,LEADPD,LEADTCH,RESPCUR,RESPRES,SCHAUT,TEACHPART,EDUSHORT,STAFFSHORT,PROAT5AB,PROAT5AM,PROAT6,PROATCE,TOTAT,PROSTAT,PROSTCE,PROSTMAS,TOTST,CREACTIV,SCIERES,STUBEHA,TEACHBEHA,STRATIO,SCHLTYPE,W_SCHGRNRABWT,SENWT,VER_DAT
USA,840,00016,84000016,06MS,084000,84000,USA0206,8400000,1,2,313,4,657,743,3,371,310,310,300,15,60,70,1,1,1,1,1,1,NA,1,1,NA,9999997,1,2,1,1,1,1,NA,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,2,2,2,2,2,3,NA,1,NA,90,0,10,NA,2,2,1,1,1,1,1,1,74,NA,74,NA,27,NA,45,NA,2,NA,7,NA,6,NA,7,NA,12,3,1,1,1,1,1,1,1,1,3,3,5,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,7,16,45,3,3,2,2,2,1,3,3,3,2,1,1,1,1,1,1,56,54,14,6,1400,23,0.8356,1,4.43,2.9951,2.2317,1.8133,2.3955,-0.7997,0.0097,1,0,-1.2541,-0.4548,0.3649,0.6081,0.027,1,74,0.0946,0.8571,1,7,3,6,0.8947,0.8138,18.9189,3,45.955783779,6.36802,17NOV16:12:20:57
USA,840,00018,84000018,06MS,084000,84000,USA0206,8400000,1,2,313,3,1079,980,4,546,800,800,500,115,10,120,1,1,1,1,1,1,2,1,1,1,9999997,1,1,1,1,1,NA,2,1,1,1,4,5,6,6,6,5,5,6,6,6,4,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3,3,2,3,1,3,NA,1,NA,100,0,0,NA,1,1,1,1,1,1,1,1,120,NA,95,NA,100,NA,58,NA,1,NA,20,NA,18,NA,12,NA,100,100,1,1,1,1,1,1,1,1,3,2,5,4,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,14,16,78,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,36,32,6,8,2059,28,1.4652,1,1.5036,1.3744,1.5685,0.6203,1.3323,-0.7997,-0.4741,0.58,0,-1.2541,-1.6823,0.8333,0.4833,0.0083,0.7917,120,0.1667,0.9,0.6,20,3,6,0.4463,-1.2619,17.1583,3,37.640490594,5.21579,17NOV16:12:20:57
USA,840,00020,84000020,06MS,084000,84000,USA0308,8400000,1,2,313,5,1595,1446,5,801,400,400,200,45,45,200,1,1,1,1,1,1,1,1,1,1,9999997,2,2,2,2,2,2,NA,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,2,2,2,2,2,NA,1,NA,100,NA,NA,NA,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,1,1,1,1,1,1,1,1,3,3,5,5,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,2,2,80,10,90,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,30,50,10,10,3041,33,0.4994,1,1.151,1.4214,0.954,0.3642,0.7155,-0.7997,0.1856,1,0,0.9328,1.4002,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1.5715,1.7822,NA,3,37.466087963,5.19162,17NOV16:12:20:57
USA,840,00023,84000023,06MS,084000,84000,USA0205,8400000,1,2,313,4,NA,NA,2,NA,NA,NA,NA,0,3,NA,1,1,1,1,NA,1,NA,NA,NA,1,9999997,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NA,18,NA,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,0,0,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2,1,NA,NA,NA,NA,289.10523036,40.06087,17NOV16:12:20:57
USA,840,00027,84000027,06MS,084000,84000,USA0104,8400000,1,2,313,2,259,255,3,135,225,225,175,41,0,41,1,1,1,2,2,1,1,2,1,1,9999997,1,2,1,1,1,1,2,2,2,2,3,3,4,2,4,4,2,5,4,4,2,4,4,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,3,NA,1,NA,97,3,0,NA,2,1,1,1,1,1,1,1,41,1,41,NA,31,NA,10,1,0,NA,3,1,3,1,3,1,60,60,1,1,1,1,1,2,1,2,1,2,5,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,3,1,2,1,1,3,3,2,3,2,1,2,2,2,3,3,3,NA,NA,NA,NA,NA,2,3,30,10,60,3,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,25,40,NA,NA,514,23,1.6667,1,-0.3703,0.2784,-0.7484,-0.2002,-0.2945,1.4806,2.8245,1,7,-1.2541,-0.9308,0.747,0.253,0,0.988,41.5,0.0843,1,1,3.5,3,5,0.4463,-0.5434,12.3855,3,141.52261342,19.61057,17NOV16:12:20:57
USA,840,00028,84000028,06MS,084000,84000,USA0102,8400000,1,2,313,3,900,900,4,455,155,155,155,80,80,180,1,1,1,1,1,1,1,1,1,1,9999997,1,1,1,1,1,2,2,1,2,NA,5,5,6,5,6,6,6,6,6,6,5,6,4,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,3,NA,1,NA,96,2,2,NA,2,1,2,2,2,2,3,3,130,1,130,NA,55,1,71,NA,4,NA,17,NA,17,NA,17,NA,100,100,1,1,1,1,1,1,1,2,2,2,5,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,3,1,1,3,1,1,3,3,1,1,1,1,2,2,2,22,15,22,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,45,66,20,35,1800,28,0.3407,1,2.0853,1.5437,1.6178,1.8133,1.6883,-0.7997,-0.4302,1,8,0.5881,0.0242,0.4253,0.5441,0.0307,0.9962,130.5,0.1303,1,1,17,3,6,0.2964,0.2229,13.7931,3,53.807005863,7.45596,17NOV16:12:20:57
USA,840,00030,84000030,06MS,084000,84000,USA0206,8400000,1,2,313,3,1126,1071,5,560,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,9999997,1,2,1,1,1,1,2,1,1,1,6,6,6,6,6,6,5,6,5,6,4,6,3,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,2,2,1,2,2,3,2,1,NA,100,0,0,0,3,1,2,1,2,2,2,2,126,2,NA,0,NA,NA,NA,NA,3,0,11,1,11,1,11,1,100,100,1,1,1,1,1,1,1,1,3,2,5,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,20,35,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,50,85,10,52,2197,33,NA,NA,1.8174,1.9497,1.5685,1.8133,0.9362,-0.6572,-0.4302,0.83,5,-0.1328,-0.1779,NA,NA,0.0236,0,127,0.0906,1,1,11.5,3,6,0.0185,0.2229,17.2992,3,36.369647224,5.03969,17NOV16:12:20:57
USA,840,00032,84000032,06MS,084000,84000,USA0206,8400000,1,2,313,3,942,863,3,437,437,437,437,135,135,135,1,1,1,1,1,1,1,1,1,1,9999997,1,2,1,1,1,1,2,2,1,1,6,5,6,6,6,6,6,6,6,6,6,6,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,2,2,2,NA,1,NA,98,1,1,NA,2,1,2,1,2,2,1,1,117,0,117,0,32,0,79,0,6,0,15,0,15,0,15,0,100,100,1,1,1,1,1,1,1,1,2,2,5,3,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,6,10,20,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,50,35,2,5,1805,23,1,1,3.4606,2.0729,2.2317,1.8133,2.3955,-0.9897,1.2412,0.83,0,-0.849,-0.4427,0.2735,0.6752,0.0513,1,117,0.1282,1,1,15,3,5,0.0185,0.2229,15.4274,3,30.827371558,4.2717,17NOV16:12:20:57
USA,840,00033,84000033,06MS,084000,84000,USA0308,8400000,1,2,313,3,765,766,4,367,100,100,NA,0,60,75,1,1,1,1,1,2,1,2,1,1,9999997,1,1,1,1,1,1,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,3,NA,NA,NA,NA,NA,NA,1,NA,76,0,24,NA,1,1,1,1,1,1,1,1,80,3,80,3,80,3,NA,NA,1,0,9,1,9,1,NA,NA,75,99,1,1,1,1,1,1,1,2,2,3,5,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,3,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,3,3,18,11,16,2,2,2,2,2,2,2,3,2,2,1,1,2,1,1,2,75,50,25,30,1531,28,0.2725,1,3.0785,1.9354,2.2317,1.8133,2.3955,1.4806,1.2412,0.92,6,-1.2541,-1.6823,1,NA,0.0123,1,81.5,0.1166,1,NA,9.5,3,8,0.0185,0.6298,18.7853,3,50.45728279,6.99179,17NOV16:12:20:57
USA,840,00034,84000034,06MS,084000,84000,USA0102,8400000,1,2,313,3,556,538,3,276,325,325,276,73,75,120,1,1,1,1,1,1,1,1,1,1,9999997,1,1,1,1,1,1,1,1,1,1,6,5,6,6,6,6,6,6,5,6,5,5,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,3,1,1,NA,99,1,0,0,1,1,1,1,1,1,1,1,113,3,NA,NA,113,NA,112,NA,2,NA,14,1,NA,NA,NA,NA,100,100,1,1,1,1,1,1,1,1,2,2,5,5,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,17,13,15,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,75,50,49,10,1094,23,1.1775,1,2.2716,1.8657,2.2317,0.9596,1.1271,-0.7997,-0.3422,0.75,8,-1.2541,-1.6823,0.9869,0.9782,0.0175,NA,114.5,0.1266,NA,NA,14.5,3,8,0.0185,-0.9281,9.5546,3,87.015671735,12.05763,17NOV16:12:20:57
USA,840,00035,84000035,06MS,084000,84000,USA0206,8400000,1,2,313,5,101,119,2,70,70,70,30,20,20,400,2,2,1,1,2,2,1,2,1,2,9999997,1,2,1,1,1,1,2,1,1,1,5,4,6,6,6,6,6,6,6,6,6,6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,2,2,1,2,2,1,NA,100,NA,NA,NA,1,1,2,2,2,2,2,3,20,NA,20,NA,12,NA,7,NA,1,NA,2,NA,2,NA,2,NA,100,100,1,1,1,1,1,1,1,1,3,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,85,30,95,3,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,25,25,5,5,220,18,1,1,2.2389,1.29,2.2317,1.8133,2.3955,-0.2296,-0.3422,0.58,1,0.2467,-0.2041,0.6,0.35,0.05,1,20,0.1,1,1,2,1,6,0.4463,-0.1073,11,3,342.32231033,47.43508,17NOV16:12:20:57
USA,840,00036,84000036,06MS,084000,84000,USA0206,8400000,1,2,313,4,587,680,3,362,289,289,62,78,40,80,1,2,1,1,1,1,2,2,1,1,9999997,1,1,1,1,1,1,1,1,2,2,4,4,5,5,6,6,6,6,4,5,4,6,4,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,2,1,3,NA,1,NA,85,5,5,5,1,1,1,1,1,1,1,1,82,2,80,NA,80,NA,30,NA,1,NA,14,NA,14,NA,14,NA,80,80,1,1,1,1,1,1,1,1,2,2,5,3,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,20,50,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,60,75,7,35,1267,23,0.7983,1,1.2596,0.9285,1.6178,1.8133,0.3519,1.4806,1.769,1,3,-1.2541,-1.6823,0.9639,0.3614,0.012,0.9639,83,0.1687,1,1,14,2,8,0.4463,0.2229,15.2651,3,69.984345874,9.69762,17NOV16:12:20:57
USA,840,00039,84000039,06MS,084000,84000,USA0206,8400000,1,2,313,1,314,311,3,167,50,50,50,45,30,52,1,1,1,1,2,1,2,1,1,1,9999997,1,2,1,1,1,2,2,2,2,2,3,2,4,5,6,6,5,6,4,5,5,5,5,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,2,2,3,1,1,1,1,NA,100,0,0,NA,4,4,4,4,3,3,3,3,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,63,50,1,1,1,1,1,1,1,1,3,2,5,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,3,2,1,1,3,1,1,3,3,2,1,1,1,2,3,3,7,30,40,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,625,23,0.2994,1,0.8938,0.1036,1.255,0.9596,0.4765,-1.2558,-0.5181,0.33,0,0.9328,3.7219,NA,NA,NA,NA,52,0.0962,1,1,5,3,4,0.4463,0.2229,12.0192,3,149.19219464,20.67334,17NOV16:12:20:57
USA,840,00040,84000040,06MS,084000,84000,USA0308,8400000,1,2,313,3,466,384,5,238,182,170,0,0,42,38,1,1,1,1,2,2,2,1,1,1,9999997,1,2,2,1,1,1,2,2,1,1,4,5,6,6,6,6,5,6,5,6,2,6,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,2,2,1,2,1,2,NA,1,NA,97,2,1,NA,1,2,2,1,3,2,2,2,35,8,35,8,34,8,30,8,0,0,5,0,5,0,5,0,100,100,1,1,1,1,1,1,1,2,2,2,5,5,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,3,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,15,6,47,3,3,2,3,2,3,2,2,2,2,1,1,2,1,1,2,10,25,3,5,850,33,0.7647,0.9341,1.5697,1.4822,1.5685,1.8133,0.6394,1.4806,1.769,1,5,-0.0295,-0.3657,0.9744,0.8718,0,1,39,0.1282,1,1,5,3,4,1.139,0.617,21.7949,3,100.198005,13.88429,17NOV16:12:20:57
USA,840,00041,84000041,06MS,084000,84000,USA0102,8400000,1,2,313,1,NA,NA,3,NA,233,233,105,31,31,31,1,1,1,1,1,1,1,2,1,1,9999997,1,2,1,1,1,1,2,2,1,1,3,2,2,3,6,5,4,5,2,5,2,2,4,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,2,1,3,1,1,NA,99,1,0,NA,3,1,2,1,2,1,1,1,31,NA,31,NA,15,NA,16,NA,0,NA,3,NA,3,NA,3,NA,99,100,1,1,1,1,1,2,1,2,2,2,5,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,3,3,2,1,1,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,16,24,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,25,25,NA,15,NA,23,NA,1,-0.2656,-0.7674,0.5929,-0.595,-0.5174,-0.4196,0.0097,1,2,-0.9916,-0.1779,0.4839,0.5161,0,1,31,0.0968,1,1,3,3,5,0.4463,0.2229,NA,3,504.01734989,69.84092,17NOV16:12:20:57
USA,840,00044,84000044,06MS,084000,84000,USA0206,8400000,1,2,313,3,983,938,4,505,285,285,30,80,5,100,1,1,1,1,1,1,1,2,1,1,9999997,1,1,NA,1,2,2,2,1,1,1,3,4,4,2,6,4,4,5,3,5,3,3,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,3,1,1,NA,100,0,0,0,3,1,3,1,3,3,3,3,100,NA,100,NA,100,NA,55,NA,10,NA,10,NA,10,NA,10,NA,98,100,1,1,1,1,1,1,1,1,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,9,16,53,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,100,52,11,20,1921,28,0.5644,1,0.0792,0.5511,0.4025,-0.5182,-0.0313,-0.6572,-0.2102,0.83,8,0.9328,0.1122,1,0.55,0.1,1,100,0.1,1,1,10,3,4,-0.6814,-2.1182,19.21,3,50.754551758,7.03298,17NOV16:12:20:57
USA,840,00045,84000045,06MS,084000,84000,USA0206,8400000,1,2,313,1,145,133,1,68,24,24,4,20,25,30,1,1,1,1,NA,1,NA,NA,1,1,9999997,1,1,1,1,1,NA,2,1,1,1,4,4,5,4,4,5,4,6,5,6,6,6,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,3,1,1,2,3,NA,1,NA,99,0,1,NA,1,1,1,1,3,3,1,1,25,2,25,2,25,2,4,2,0,0,3,0,3,0,3,0,100,100,1,1,1,1,1,2,1,2,2,2,5,5,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,3,2,1,1,1,3,2,3,2,2,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,2,3,4,5,30,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,20,40,10,25,278,13,0.3529,1,1.1721,1.1267,0.2905,1.0958,1.3806,0.3405,0.7134,1,0,-0.654,-1.6823,1,0.1923,0,1,26,0.1154,1,1,3,3,6,0.511,0.2229,10.6923,3,271.28499331,37.59155,17NOV16:12:20:57
