CourseID,CourseSectionID,CourseSectionOrigID,Bb_UserPK,CUPK,TimeSpent
27,17146,OcnA-S116-01,44638,190682,1382.7001
27,17146,OcnA-S116-01,54346,194259,1191.3836
27,17146,OcnA-S116-01,57981,196014,3343.3333
27,17146,OcnA-S116-01,66740,190463,965.2994
27,17146,OcnA-S116-01,67920,191593,4094.9995
27,17146,OcnA-S116-01,85355,190104,594.6165
27,17146,OcnA-S116-01,85644,190685,1632.4
27,17146,OcnA-S116-01,86349,191713,1601.1335
27,17146,OcnA-S116-01,86460,191887,1891.1999
27,17146,OcnA-S116-01,87970,194256,3123.3502
27,17146,OcnA-S116-01,89114,196008,1092.3662
27,17146,OcnA-S116-01,89435,196491,6348.4492
27,17146,OcnA-S116-01,89487,196553,2151.1498
27,17146,OcnA-S116-01,90562,197903,1389.3161
27,17146,OcnA-S116-01,91818,200296,1651.5005
27,17288,OcnA-T116-01,84685,189159,3073.6162
27,17600,OcnA-S216-01,47979,221549,1598.6166
27,17600,OcnA-S216-01,84932,217057,2573.4502
27,17600,OcnA-S216-01,86240,219143,1800.2174
27,17600,OcnA-S216-01,86340,221214,111.5834
27,17600,OcnA-S216-01,86527,218637,2211.5331
27,17600,OcnA-S216-01,87670,215758,1995.5832
27,17600,OcnA-S216-01,88474,219378,4112.7673
27,17600,OcnA-S216-01,88504,222512,68.6333
27,17600,OcnA-S216-01,88849,216246,4799.483
27,17600,OcnA-S216-01,94319,216792,1588.55
27,17600,OcnA-S216-01,94590,217686,1428.0167
27,17600,OcnA-S216-01,94717,218180,821.9161
27,17600,OcnA-S216-01,94744,218276,8870.8833
27,17600,OcnA-S216-01,94956,219464,1242.6
27,17600,OcnA-S216-01,95504,220914,451.8001
27,17600,OcnA-S216-01,95725,221661,1886.3334
27,17600,OcnA-S216-01,95738,221701,163.6832
27,17600,OcnA-S216-01,96121,222760,1320.5499
27,17600,OcnA-S216-01,96345,223344,1540.1833
27,17600,OcnA-S216-01,96373,223437,2449.6827
27,17600,OcnA-S216-01,96374,223438,2626.9001
27,17600,OcnA-S216-01,96412,223532,943.0669
27,17600,OcnA-S216-01,96689,224266,1858.3502
27,17600,OcnA-S216-01,96856,224734,529.2335
27,17600,OcnA-S216-01,97272,225753,1638.45
27,17984,OcnA-S116-02,54282,190370,2025.1672
27,17984,OcnA-S116-02,68476,193657,969.4666
27,17984,OcnA-S116-02,85410,190209,6771.9673
27,17984,OcnA-S116-02,85482,190360,1822.5494
27,17984,OcnA-S116-02,85487,190369,0.5833
27,17984,OcnA-S116-02,86133,191377,1581.7665
27,17984,OcnA-S116-02,86689,192226,2457.1828
27,17984,OcnA-S116-02,87001,192719,1202.6335
27,17984,OcnA-S116-02,87209,193081,3755.1506
27,17984,OcnA-S116-02,88168,194565,2885.7832
27,18012,OcnA-S116-03,88307,194757,1811.9338
27,18409,OcnA-S216-02,78241,221050,26.9168
27,18409,OcnA-S216-02,86697,223559,1133.4667
27,18409,OcnA-S216-02,88864,221212,2231.3667
27,18409,OcnA-S216-02,94240,217289,2276.3169
27,18409,OcnA-S216-02,94327,216811,580.3167
27,18409,OcnA-S216-02,94556,215945,2287.2334
27,18409,OcnA-S216-02,94577,216023,1697.5829
27,18409,OcnA-S216-02,94876,218802,57.6666
27,18409,OcnA-S216-02,95368,220293,3368.0167
27,18409,OcnA-S216-02,95375,220307,224.7166
27,18409,OcnA-S216-02,95624,221332,2111.0837
27,18409,OcnA-S216-02,95868,221863,1929.4
27,18409,OcnA-S216-02,95921,222082,960.2998
60,17052,AnPhA-S116-01,60186,194798,2087.0501
60,17052,AnPhA-S116-01,66693,191610,2309.0334
60,17052,AnPhA-S116-01,66811,192283,5298.8507
60,17052,AnPhA-S116-01,66862,190115,1746.9667
60,17052,AnPhA-S116-01,67508,192500,2668.183
60,17052,AnPhA-S116-01,85970,191123,610.8334
60,17052,AnPhA-S116-01,86072,191275,608.1834
60,17052,AnPhA-S116-01,86267,191595,406.0001
60,17052,AnPhA-S116-01,86277,191608,3856.8672
60,17052,AnPhA-S116-01,86432,191845,3715.9002
60,17052,AnPhA-S116-01,86451,191875,4176.8337
60,17052,AnPhA-S116-01,86476,191915,1937.5168
60,17052,AnPhA-S116-01,86484,191924,1872.0336
60,17052,AnPhA-S116-01,86492,191935,893.1332
60,17052,AnPhA-S116-01,86504,191954,1551.3498
60,17052,AnPhA-S116-01,86588,192057,67.5167
60,17052,AnPhA-S116-01,88068,194423,535.8334
60,17052,AnPhA-S116-01,88099,194464,2615.4998
60,17052,AnPhA-S116-01,88641,195209,1998.4998
27,17146,OcnA-S116-01,54066,191909,2625.5164
27,17146,OcnA-S116-01,58178,194859,3502.0004
27,17146,OcnA-S116-01,76891,195135,2334.5502
27,17146,OcnA-S116-01,86758,192334,3742.8836
27,17146,OcnA-S116-01,86836,192450,46.6833
27,17146,OcnA-S116-01,86943,192639,1377.5666
27,17146,OcnA-S116-01,88440,195092,2600.1334
27,17146,OcnA-S116-01,88854,195645,762.5997
27,17146,OcnA-S116-01,90861,198337,2454.3332
27,17146,OcnA-S116-01,90928,198429,3900.2504
27,17146,OcnA-S116-01,91635,199920,3797.3334
27,17288,OcnA-T116-01,79893,198193,1856.6669
27,17288,OcnA-T116-01,84645,189082,48.0332
27,17288,OcnA-T116-01,84684,189158,3095.2494
27,17288,OcnA-T116-01,87955,194234,2420.5994
27,17288,OcnA-T116-01,88282,194717,2373.7169
27,17288,OcnA-T116-01,88340,194812,444.5
27,17288,OcnA-T116-01,88703,195428,1233.3832
27,17600,OcnA-S216-01,62175,224123,1403.6834
27,17600,OcnA-S216-01,68022,218819,39.7504
27,17600,OcnA-S216-01,76443,221213,100.3334
27,17600,OcnA-S216-01,80822,220424,4538.4835
27,17600,OcnA-S216-01,86296,216360,403.8
27,17600,OcnA-S216-01,86455,219688,2337.4167
27,17600,OcnA-S216-01,87825,217635,330.7998
27,17600,OcnA-S216-01,90996,224307,44.7332
27,17600,OcnA-S216-01,94323,216804,4214.7332
27,17600,OcnA-S216-01,94630,217837,245.2834
27,17600,OcnA-S216-01,94654,224125,3140.7669
27,17600,OcnA-S216-01,95091,217450,3475.8
27,17600,OcnA-S216-01,95533,221044,1591.2504
27,17600,OcnA-S216-01,95770,221784,3003.6162
27,17600,OcnA-S216-01,96671,224212,1734.6833
27,17600,OcnA-S216-01,96756,224448,3967.3171
27,17600,OcnA-S216-01,97006,225110,2399.5166
27,17984,OcnA-S116-02,54342,193082,1581.0831
27,17984,OcnA-S116-02,87122,192932,546.4335
27,17984,OcnA-S116-02,88166,194563,2137.7164
27,17984,OcnA-S116-02,90090,197158,1430.217
27,17984,OcnA-S116-02,92021,200672,758.3668
27,18409,OcnA-S216-02,54567,216244,1180.2664
27,18409,OcnA-S216-02,78002,218918,1290.4502
27,18409,OcnA-S216-02,88642,221197,1980.6001
27,18409,OcnA-S216-02,88803,223225,2015.5833
27,18409,OcnA-S216-02,91163,222025,6243.9003
27,18409,OcnA-S216-02,91252,215695,1479.8998
