school_name,category,value
NELLIE STONE JOHNSON,aa_num,247
NORTHROP,aa_num,54
PILLSBURY,aa_num,201
PRATT,aa_num,156
SHERIDAN,aa_num,189
WAITE PARK,aa_num,104
WEBSTER COMMUNITY,aa_num,61
WHITTIER,aa_num,273
WINDOM,aa_num,30
ANDERSEN UNITED,aa_num,336
ANISHINABE ACAD,aa_num,17
BARTON,aa_num,289
FIELD,aa_num,76
FOLWELL FINE ARTS,aa_num,238
HMONG INTERNATIONAL,aa_num,226
JEFFERSON,aa_num,199
LAKE HARRIET UPPER,aa_num,20
LK NOKOMIS KEEWAYDIN,aa_num,103
MARCY OPEN,aa_num,320
SEWARD,aa_num,413
SULLIVAN,aa_num,515
ANTHONY,aa_num,228
ANWATIN NEW,aa_num,230
FRANKLIN,aa_num,302
JUSTICE PAGE,aa_num,223
NORTHEAST,aa_num,220
OLSON MIDDLE,aa_num,247
SANFORD,aa_num,263
EDISON HIGH,aa_num,520
FAIR HIGH SCHOOL,aa_num,107
HENRY HIGH,aa_num,557
HERITAGE,aa_num,187
NORTH HIGH,aa_num,405
ROOSEVELT HIGH,aa_num,338
SOUTH HIGH,aa_num,708
SOUTHWEST HIGH,aa_num,542
WASHBURN HIGH,aa_num,357
MACC,aa_num,20
LONGFELLOW,aa_num,37
WELLSTONE,aa_num,181
WELLSTONE SWS,aa_num,12
HARRISON SEC CTR,aa_num,28
RIVER BEND ED CNT,aa_num,63
TRANSITION PLUS,aa_num,143
AMERICAN IND OIC,aa_num,2
CENTER SCHOOL,aa_num,4
LORING-NICOLLET,aa_num,18
MENLO PARK,aa_num,36
MERC,aa_num,29
PLYMOUTH YTH CTR,aa_num,123
RON MCDONALD HOUSE,aa_num,0
VOA PHOENIX,aa_num,52
Total,aa_num,13415
ARMATAGE,aa_pct,0.20666666666666667
BANCROFT,aa_pct,0.4459203036053131
BETHUNE,aa_pct,0.8289473684210527
BRYN MAWR,aa_pct,0.5558739255014327
BURROUGHS,aa_pct,0.11096605744125326
CITYVIEW COMMUNITY,aa_pct,0.8038585209003215
DOWLING,aa_pct,0.4188376753507014
EMERSON SILC,aa_pct,0.12701612903225806
FAIR ELEMENTARY,aa_pct,0.8
GREEN,aa_pct,0.31230283911671924
HALE,aa_pct,0.11585365853658537
HALL,aa_pct,0.8533333333333334
HIAWATHA,aa_pct,0.20553359683794467
HOWE,aa_pct,0.12844036697247707
KENNY,aa_pct,0.16844349680170576
KENWOOD,aa_pct,0.16464891041162227
