school_name,category,value
WAITE PARK,aa_num,98
WEBSTER COMMUNITY,aa_num,67
WHITTIER,aa_num,269
WINDOM,aa_num,28
ANDERSEN UNITED,aa_num,311
ANISHINABE ACAD,aa_num,19
BARTON,aa_num,285
FIELD,aa_num,67
FOLWELL FINE ARTS,aa_num,244
HMONG INTERNATIONAL,aa_num,255
JEFFERSON,aa_num,177
LAKE HARRIET UPPER,aa_num,20
LK NOKOMIS KEEWAYDIN,aa_num,87
MARCY OPEN,aa_num,310
SEWARD,aa_num,423
SULLIVAN,aa_num,451
ANTHONY,aa_num,224
ANWATIN NEW,aa_num,219
FRANKLIN,aa_num,270
JUSTICE PAGE,aa_num,199
NORTHEAST,aa_num,219
OLSON,aa_num,252
SANFORD,aa_num,268
EDISON HIGH,aa_num,569
FAIR HIGH SCHOOL,aa_num,105
HENRY HIGH,aa_num,538
HERITAGE,aa_num,203
NORTH ACADEMY,aa_num,403
ROOSEVELT HIGH,aa_num,360
SOUTH HIGH,aa_num,660
SOUTHWEST HIGH,aa_num,548
WASHBURN HIGH,aa_num,366
LONGFELLOW,aa_num,27
MACC,aa_num,24
WELLSTONE,aa_num,141
WELLSTONE SWS,aa_num,16
HARRISON SEC CTR,aa_num,24
RIVER BEND ED CNT,aa_num,68
TRANSITION PLUS,aa_num,138
AMERICAN IND OIC,aa_num,1
CENTER SCHOOL,aa_num,1
LORING-NICOLLET,aa_num,16
MENLO PARK,aa_num,36
MERC,aa_num,21
PLYMOUTH YTH CTR,aa_num,105
RON MCDONALD HOUSE,aa_num,3
VOA PHOENIX,aa_num,53
Total,aa_num,12847
ARMATAGE,aa_pct,0.19669421487603306
BANCROFT,aa_pct,0.4731610337972167
BETHUNE,aa_pct,0.8467153284671532
BRYN MAWR,aa_pct,0.49498327759197325
BURROUGHS,aa_pct,0.09594594594594595
CITYVIEW COMMUNITY,aa_pct,0.7744360902255639
DOWLING,aa_pct,0.3920335429769392
EMERSON SILC,aa_pct,0.12345679012345678
GREEN,aa_pct,0.3102189781021898
HALE,aa_pct,0.13023255813953488
HALL,aa_pct,0.8341968911917098
HIAWATHA,aa_pct,0.14112903225806453
HOWE,aa_pct,0.16964285714285715
KENNY,aa_pct,0.1995841995841996
KENWOOD,aa_pct,0.16209476309226933
LAKE HARRIET LOWER,aa_pct,0.047524752475247525
LIND,aa_pct,0.7237851662404092
LK NOKOMIS WENONAH,aa_pct,0.1696113074204947
LORING,aa_pct,0.44554455445544555
LUCY LANEY @ CLVLND,aa_pct,0.8901601830663616
LYNDALE,aa_pct,0.45454545454545453
NELLIE STONE JOHNSON,aa_pct,0.5360824742268041
NORTHROP,aa_pct,0.07707910750507099
PILLSBURY,aa_pct,0.5248447204968945
PRATT,aa_pct,0.5182481751824818
SHERIDAN,aa_pct,0.463768115942029
WAITE PARK,aa_pct,0.24019607843137256
WEBSTER COMMUNITY,aa_pct,0.24187725631768953
WHITTIER,aa_pct,0.5085066162570888
WINDOM,aa_pct,0.04835924006908463
ANDERSEN UNITED,aa_pct,0.3684834123222749
ANISHINABE ACAD,aa_pct,0.08755760368663594
BARTON,aa_pct,0.40772532188841204
FIELD,aa_pct,0.12934362934362933
FOLWELL FINE ARTS,aa_pct,0.29975429975429974
HMONG INTERNATIONAL,aa_pct,0.480225988700565
JEFFERSON,aa_pct,0.39420935412026725
LAKE HARRIET UPPER,aa_pct,0.031545741324921134
LK NOKOMIS KEEWAYDIN,aa_pct,0.1875
MARCY OPEN,aa_pct,0.41948579161028415
SEWARD,aa_pct,0.5
SULLIVAN,aa_pct,0.8590476190476191
ANTHONY,aa_pct,0.2864450127877238
ANWATIN NEW,aa_pct,0.39037433155080214
FRANKLIN,aa_pct,0.7297297297297297
JUSTICE PAGE,aa_pct,0.23522458628841608
NORTHEAST,aa_pct,0.43538767395626243
OLSON,aa_pct,0.6461538461538462
SANFORD,aa_pct,0.27628865979381445
EDISON HIGH,aa_pct,0.5639246778989098
FAIR HIGH SCHOOL,aa_pct,0.46255506607929514
HENRY HIGH,aa_pct,0.5080264400377715
HERITAGE,aa_pct,0.9902439024390244
NORTH ACADEMY,aa_pct,0.8995535714285714
ROOSEVELT HIGH,aa_pct,0.35294117647058826
SOUTH HIGH,aa_pct,0.3790924755887421
SOUTHWEST HIGH,aa_pct,0.2839378238341969
WASHBURN HIGH,aa_pct,0.22399020807833536
LONGFELLOW,aa_pct,0.34177215189873417
MACC,aa_pct,0.6666666666666666
WELLSTONE,aa_pct,0.5595238095238095
WELLSTONE SWS,aa_pct,0.6666666666666666
HARRISON SEC CTR,aa_pct,0.8275862068965517
RIVER BEND ED CNT,aa_pct,0.7906976744186046
TRANSITION PLUS,aa_pct,0.5036496350364964
AMERICAN IND OIC,aa_pct,0.027777777777777776
CENTER SCHOOL,aa_pct,0.02127659574468085
LORING-NICOLLET,aa_pct,0.26666666666666666
MENLO PARK,aa_pct,0.4675324675324675
MERC,aa_pct,0.3559322033898305
PLYMOUTH YTH CTR,aa_pct,0.8823529411764706
RON MCDONALD HOUSE,aa_pct,0.42857142857142855
VOA PHOENIX,aa_pct,0.4953271028037383
Total,aa_pct,0.3729822320288004
ARMATAGE,as_num,33
BANCROFT,as_num,20
BETHUNE,as_num,8
BRYN MAWR,as_num,77
BURROUGHS,as_num,51
CITYVIEW COMMUNITY,as_num,13
DOWLING,as_num,9
EMERSON SILC,as_num,6
GREEN,as_num,7
HALE,as_num,34
HALL,as_num,1
HIAWATHA,as_num,9
HOWE,as_num,6
KENNY,as_num,30
KENWOOD,as_num,43
LAKE HARRIET LOWER,as_num,39
LIND,as_num,43
LK NOKOMIS WENONAH,as_num,6
LORING,as_num,50
LUCY LANEY @ CLVLND,as_num,7
LYNDALE,as_num,15
NELLIE STONE JOHNSON,as_num,6
NORTHROP,as_num,22
PILLSBURY,as_num,4
PRATT,as_num,7
SHERIDAN,as_num,9
WAITE PARK,as_num,23
WEBSTER COMMUNITY,as_num,36
WHITTIER,as_num,15
WINDOM,as_num,10
ANDERSEN UNITED,as_num,11
ANISHINABE ACAD,as_num,1
BARTON,as_num,26
FIELD,as_num,22
FOLWELL FINE ARTS,as_num,8
HMONG INTERNATIONAL,as_num,239
JEFFERSON,as_num,14
LAKE HARRIET UPPER,as_num,43
LK NOKOMIS KEEWAYDIN,as_num,20
MARCY OPEN,as_num,37
SEWARD,as_num,29
SULLIVAN,as_num,5
ANTHONY,as_num,33
ANWATIN NEW,as_num,39
FRANKLIN,as_num,6
JUSTICE PAGE,as_num,31
NORTHEAST,as_num,22
OLSON,as_num,33
SANFORD,as_num,38
EDISON HIGH,as_num,51
FAIR HIGH SCHOOL,as_num,7
HENRY HIGH,as_num,328
HERITAGE,as_num,0
NORTH ACADEMY,as_num,9
ROOSEVELT HIGH,as_num,42
SOUTH HIGH,as_num,63
SOUTHWEST HIGH,as_num,95
WASHBURN HIGH,as_num,70
LONGFELLOW,as_num,2
MACC,as_num,2
WELLSTONE,as_num,8
WELLSTONE SWS,as_num,0
HARRISON SEC CTR,as_num,0
RIVER BEND ED CNT,as_num,1
TRANSITION PLUS,as_num,9
AMERICAN IND OIC,as_num,0
CENTER SCHOOL,as_num,0
LORING-NICOLLET,as_num,5
MENLO PARK,as_num,2
MERC,as_num,2
PLYMOUTH YTH CTR,as_num,7
RON MCDONALD HOUSE,as_num,1
VOA PHOENIX,as_num,0
Total,as_num,2000
ARMATAGE,as_pct,0.05454545454545454
BANCROFT,as_pct,0.039761431411530816
BETHUNE,as_pct,0.029197080291970802
BRYN MAWR,as_pct,0.25752508361204013
BURROUGHS,as_pct,0.06891891891891892
CITYVIEW COMMUNITY,as_pct,0.04887218045112782
DOWLING,as_pct,0.018867924528301886
EMERSON SILC,as_pct,0.012345679012345678
GREEN,as_pct,0.025547445255474453
HALE,as_pct,0.05271317829457364
HALL,as_pct,0.0051813471502590676
HIAWATHA,as_pct,0.036290322580645164
HOWE,as_pct,0.026785714285714284
KENNY,as_pct,0.062370062370062374
KENWOOD,as_pct,0.10723192019950124
LAKE HARRIET LOWER,as_pct,0.07722772277227723
LIND,as_pct,0.10997442455242967
LK NOKOMIS WENONAH,as_pct,0.02120141342756184
LORING,as_pct,0.12376237623762376
LUCY LANEY @ CLVLND,as_pct,0.016018306636155607
LYNDALE,as_pct,0.030303030303030304
NELLIE STONE JOHNSON,as_pct,0.015463917525773196
NORTHROP,as_pct,0.04462474645030426
PILLSBURY,as_pct,0.012422360248447204
PRATT,as_pct,0.025547445255474453
SHERIDAN,as_pct,0.03260869565217391
WAITE PARK,as_pct,0.056372549019607844
WEBSTER COMMUNITY,as_pct,0.1299638989169675
WHITTIER,as_pct,0.02835538752362949
WINDOM,as_pct,0.017271157167530225
ANDERSEN UNITED,as_pct,0.013033175355450236
ANISHINABE ACAD,as_pct,0.004608294930875576
BARTON,as_pct,0.03719599427753934
FIELD,as_pct,0.04247104247104247
FOLWELL FINE ARTS,as_pct,0.009828009828009828
HMONG INTERNATIONAL,as_pct,0.4500941619585687
