school_name,na_num,na_pct,aa_num,aa_pct,as_num,as_pct,hi_num,hi_pct,wh_num,wh_pct,tot,not_eligible_num,reduce_num,free_num,frpl_num,frpl_pct,hi_povnum,aa_povnum,wh_povnum,as_povnum,na_povnum,hi_povsch,aa_povsch,as_povsch,wh_povsch,na_povsch
HENRY HIGH,18,0.0169971671388102,538,0.5080264400377715,328,0.3097261567516525,104,0.09820585457979225,70,0.06610009442870633,1059,335,60,662,1057,0.6830652790917692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HERITAGE,1,0.004878048780487805,203,0.9902439024390244,0,0,0,0,1,0.004878048780487805,205,30,1,172,203,0.8522167487684729,0,203,1,0,1,0,0.01580135440180587,0,8.07037365830038e-5,8.375209380234506e-4
NORTH ACADEMY,5,0.011160714285714286,403,0.8995535714285714,9,0.020089285714285716,21,0.046875,10,0.022321428571428572,448,85,13,349,447,0.8098434004474273,21,403,10,9,5,0.003527040644944575,0.03136919125087569,0.0045,8.07037365830038e-4,0.0041876046901172526
ROOSEVELT HIGH,48,0.047058823529411764,360,0.35294117647058826,42,0.041176470588235294,338,0.33137254901960783,231,0.22647058823529412,1020,416,66,532,1014,0.5897435897435898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH HIGH,115,0.06605399195864446,660,0.3790924755887421,63,0.03618609994256174,313,0.1797817346352671,589,0.3383113153360138,1741,790,100,849,1739,0.5457159286946521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST HIGH,18,0.00932642487046632,548,0.2839378238341969,95,0.04922279792746114,207,0.10725388601036269,1057,0.5476683937823834,1930,1203,100,620,1923,0.374414976599064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WASHBURN HIGH,19,0.011627906976744186,366,0.22399020807833536,70,0.042839657282741736,261,0.15973072215422277,916,0.5605875152998776,1634,1014,130,488,1632,0.3786764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LONGFELLOW,9,0.11392405063291139,27,0.34177215189873417,2,0.02531645569620253,40,0.5063291139240507,1,0.012658227848101266,79,2,0,70,72,0.9722222222222222,40,27,1,2,9,0.006718172657037286,0.002101657974624426,0.001,8.07037365830038e-5,0.007537688442211055
MACC,3,0.08333333333333333,24,0.6666666666666666,2,0.05555555555555555,6,0.16666666666666666,1,0.027777777777777776,36,7,1,24,32,0.78125,6,24,1,2,3,0.001007725898555593,0.0018681404218883785,0.001,8.07037365830038e-5,0.002512562814070352
WELLSTONE,0,0,141,0.5595238095238095,8,0.031746031746031744,99,0.39285714285714285,4,0.015873015873015872,252,10,7,191,208,0.9519230769230769,99,141,4,8,0,0.016627477326167282,0.010975324978594225,0.004,3.228149463320152e-4,0
WELLSTONE SWS,0,0,16,0.6666666666666666,0,0,8,0.3333333333333333,0,0,24,0,0,17,17,1,8,16,0,0,0,0.0013436345314074571,0.0012454269479255857,0,0,0
HARRISON SEC CTR,2,0.06896551724137931,24,0.8275862068965517,0,0,1,0.034482758620689655,2,0.06896551724137931,29,4,1,24,29,0.8620689655172413,1,24,2,0,2,1.6795431642593214e-4,0.0018681404218883785,0,1.614074731660076e-4,0.0016750418760469012
RIVER BEND ED CNT,5,0.05813953488372093,68,0.7906976744186046,1,0.011627906976744186,5,0.05813953488372093,7,0.08139534883720931,86,6,3,77,86,0.9302325581395349,5,68,7,1,5,8.397715821296608e-4,0.005293064528683739,5e-4,5.649261560810266e-4,0.0041876046901172526
TRANSITION PLUS,11,0.040145985401459854,138,0.5036496350364964,9,0.032846715328467155,48,0.17518248175182483,68,0.24817518248175183,274,71,19,179,269,0.7360594795539034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMERICAN IND OIC,30,0.8333333333333334,1,0.027777777777777776,0,0,4,0.1111111111111111,1,0.027777777777777776,36,6,2,28,36,0.8333333333333334,4,1,1,0,30,6.718172657037286e-4,7.78391842453491e-5,0,8.07037365830038e-5,0.02512562814070352
CENTER SCHOOL,38,0.8085106382978723,1,0.02127659574468085,0,0,7,0.14893617021276595,0,0,47,5,1,41,47,0.8936170212765957,7,1,0,0,38,0.0011756802149815251,7.78391842453491e-5,0,0,0.031825795644891124
LORING-NICOLLET,3,0.05,16,0.26666666666666666,5,0.08333333333333333,10,0.16666666666666666,26,0.43333333333333335,60,32,3,23,58,0.4482758620689655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MENLO PARK,9,0.11688311688311688,36,0.4675324675324675,2,0.025974025974025976,13,0.16883116883116883,17,0.22077922077922077,77,20,3,49,72,0.7222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MERC,5,0.0847457627118644,21,0.3559322033898305,2,0.03389830508474576,19,0.3220338983050847,12,0.2033898305084746,59,18,6,27,51,0.6470588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLYMOUTH YTH CTR,0,0,105,0.8823529411764706,7,0.058823529411764705,4,0.03361344537815126,3,0.025210084033613446,119,17,2,81,100,0.83,4,105,3,7,0,6.718172657037286e-4,0.008173114345761656,0.0035,2.4211120974901139e-4,0
RON MCDONALD HOUSE,0,0,3,0.42857142857142855,1,0.14285714285714285,0,0,3,0.42857142857142855,7,5,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VOA PHOENIX,5,0.04672897196261682,53,0.4953271028037383,0,0,40,0.37383177570093457,9,0.08411214953271028,107,17,5,70,92,0.8152173913043478,40,53,9,0,5,0.006718172657037286,0.004125476765003503,0,7.263336292470342e-4,0.0041876046901172526
Total,1194,0.034664963418882824,12847,0.3729822320288004,2000,0.05806526535826269,5954,0.172860294971548,12391,0.3597433515271165,34444,14992,2219,17538,34749,0.5685631241186797,2332,5561,766,556,535,0.39166946590527374,0.4328637035883864,0.278,0.061819062222580906,0.4480737018425461
