student_ID,course_ID,subject,semester,section,pre_int,pre_uv,pre_percomp,pre_tv,post_int,post_uv,post_tv,post_percomp,enrollment_reason,enrollment_status,final_grade,time_spent
95634,AnPhA-S216-01,AnPhA,S216,01,NA,3.3333333333333335,3.5,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,76.5749312,4466.367
95658,BioA-S216-01,BioA,S216,01,3.6,3.3333333333333335,3,3.5714285714285716,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,82.29946524,644.2667
95684,FrScA-S216-01,FrScA,S216,01,3.8,3.6666666666666665,3,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,0.902934537,88.5167
95707,BioA-S216-01,BioA,S216,01,3.2,2.6666666666666665,2,3,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,88.57754011,4034.7502
95725,OcnA-S216-01,OcnA,S216,01,3.4,3.3333333333333335,2.5,3.142857142857143,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,68.44053601,1886.3334
95726,FrScA-S216-01,FrScA,S216,01,4.2,3,3.5,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,94.58239278,1823.8667
95738,OcnA-S216-01,OcnA,S216,01,4.8,4.666666666666667,4.5,4.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Dropped,NA,163.6832
95743,FrScA-S216-01,FrScA,S216,01,4.8,3.3333333333333335,4,4.142857142857143,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,95.93679458,3122.9167
95770,OcnA-S216-01,OcnA,S216,01,3.6,3,2.5,3.2857142857142856,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,91.968174200000007,3003.6162
95868,OcnA-S216-02,OcnA,S216,02,4,3.6666666666666665,3,3.857142857142857,NA,NA,NA,NA,Other,Approved/Enrolled,39.41038526,1929.4
95896,FrScA-S216-01,FrScA,S216,01,4,2.6666666666666665,2.5,3.4285714285714284,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,75.50790068,1133.2169
95915,AnPhA-S216-01,AnPhA,S216,01,3.8,3,3,3.4285714285714284,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,74.1874672,2670.7669
95919,AnPhA-S216-02,AnPhA,S216,02,5,5,4,5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,86.534932800000007,1937.4333
95921,OcnA-S216-02,OcnA,S216,02,4.6,4,4,4.428571428571429,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,80.97822446,960.2998
95923,FrScA-S216-02,FrScA,S216,02,4.2,3.3333333333333335,3,3.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,89.61625282,1276.7667
95925,FrScA-S216-02,FrScA,S216,02,5,3.6666666666666665,3,4.428571428571429,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,90.74492099,2111.8333
95957,AnPhA-S216-01,AnPhA,S216,01,5,5,5,5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,67.9248,3542.5501
95989,FrScA-S216-01,FrScA,S216,01,4,4.333333333333333,3.5,4.142857142857143,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,85.44018059,873.6171
95991,FrScA-S216-01,FrScA,S216,01,5,4.666666666666667,4.5,4.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,82.39277652,870.3836
96027,PhysA-S216-01,PhysA,S216,01,3.8,4.333333333333333,3.5,4,NA,NA,NA,NA,Other,Approved/Enrolled,74.47916667,2363.2667
96048,FrScA-S216-04,FrScA,S216,04,4,2,3.5,3.142857142857143,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,70.85327314,1665.1665
96082,FrScA-S216-02,FrScA,S216,02,3.6,3.6666666666666665,3.5,3.5714285714285716,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,52.59593679,1250.7833
96090,PhysA-S216-01,PhysA,S216,01,3.2,3.3333333333333335,2.5,3.2857142857142856,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,11.02777778,112.5167
96121,OcnA-S216-01,OcnA,S216,01,4.2,3.6666666666666665,3.5,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,81.28643216,1320.5499
96134,FrScA-S216-02,FrScA,S216,02,5,3.3333333333333335,4.5,4.285714285714286,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,89.72911964,2047.7501
96142,FrScA-S216-02,FrScA,S216,02,4.4,3.3333333333333335,3.5,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,90.85778781,1548.7666
96189,FrScA-S216-02,FrScA,S216,02,4.8,3.3333333333333335,2.5,4.142857142857143,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,88.48758465,1268.1002
96228,AnPhA-S216-01,AnPhA,S216,01,4.2,4,2.5,4.142857142857143,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,91.064,1747.1669
96280,FrScA-S216-02,FrScA,S216,02,4.2,3.6666666666666665,3,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,81.03837472,914.8667
96345,OcnA-S216-01,OcnA,S216,01,4.4,4,4.5,4.142857142857143,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,63.14572864,1540.1833
96373,OcnA-S216-01,OcnA,S216,01,2.2,1,3.5,1.7142857142857142,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,80.27303183,2449.6827
96374,OcnA-S216-01,OcnA,S216,01,4,3.6666666666666665,3.5,3.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,77.15242881,2626.9001
96414,FrScA-S216-02,FrScA,S216,02,4.8,3.3333333333333335,3.5,4.142857142857143,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,61.62528217,310.9335
96433,FrScA-S216-02,FrScA,S216,02,4,3,3,3.5714285714285716,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,93.4537246,2427.9167
96472,PhysA-S216-01,PhysA,S216,01,4.2,3.6666666666666665,2.5,4,NA,NA,NA,NA,Other,Approved/Enrolled,62.20833333,377.3498
96590,PhysA-S216-01,PhysA,S216,01,2.2,2,2,2.142857142857143,NA,NA,NA,NA,Other,Approved/Enrolled,15.41666667,262.1667
96671,OcnA-S216-01,OcnA,S216,01,4.4,3,4,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,32.7001675,1734.6833
96677,AnPhA-S216-01,AnPhA,S216,01,4.2,4.333333333333333,4,4.285714285714286,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,5.2,11.0333
96680,AnPhA-S216-01,AnPhA,S216,01,3.8,3.6666666666666665,2.5,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,52.5504,1776.5166
96689,OcnA-S216-01,OcnA,S216,01,4.4,3,4,3.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,82.668341710000007,1858.3502
96690,AnPhA-S216-01,AnPhA,S216,01,5,5,5,5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,64.8128,1969.5003
96720,AnPhA-S216-01,AnPhA,S216,01,3.6,4.333333333333333,3,3.857142857142857,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,7.88,68.1167
96756,OcnA-S216-01,OcnA,S216,01,3.8,3.6666666666666665,3,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,91.13902848,3967.3171
96769,FrScA-S216-02,FrScA,S216,02,4.8,5,4.5,5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,59.59367946,510.8667
96808,PhysA-S216-01,PhysA,S216,01,NA,3.3333333333333335,3,NA,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,93.75,2446.3169
96826,AnPhA-S216-02,AnPhA,S216,02,4,4,3.5,4,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,88.408,1073.95
96841,FrScA-S216-02,FrScA,S216,02,5,3,3.5,4.142857142857143,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,92.55079007,1670.95
96853,AnPhA-S216-01,AnPhA,S216,01,4.8,5,5,4.857142857142857,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,85.4277328,2521.2334
96854,AnPhA-S216-01,AnPhA,S216,01,5,4.333333333333333,5,4.714285714285714,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,85.1189328,2563.3833
96856,OcnA-S216-01,OcnA,S216,01,4,3.3333333333333335,2.5,3.7142857142857144,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,13.02847571,529.2335
96867,PhysA-S216-01,PhysA,S216,01,3.6,3.6666666666666665,3.5,3.7142857142857144,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,90.625,1841.7836
96871,AnPhA-S216-02,AnPhA,S216,02,4.6,4,4,4.285714285714286,NA,NA,NA,NA,Other,Approved/Enrolled,81.1482656,244.3835
96950,BioA-S216-01,BioA,S216,01,4,4,3.5,4.285714285714286,NA,NA,NA,NA,Credit Recovery,Approved/Enrolled,91.81818182,2264.4834
96959,AnPhA-S216-01,AnPhA,S216,01,4.6,4.333333333333333,4,4.571428571428571,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,67.6608,1727.2666
96994,AnPhA-S216-01,AnPhA,S216,01,5,5,4.5,5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,86.8074672,2676.7501
97006,OcnA-S216-01,OcnA,S216,01,2.8,2.3333333333333335,3.5,2.5714285714285716,NA,NA,NA,NA,Scheduling Conflict,Approved/Enrolled,68.15075377,2399.5166
97150,PhysA-S216-01,PhysA,S216,01,4,3.3333333333333335,2,3.5714285714285716,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,62.54861111,759.3335
97265,PhysA-S216-01,PhysA,S216,01,5,5,5,5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,84.56944444,817.4501
97272,OcnA-S216-01,OcnA,S216,01,4,4,3.5,3.857142857142857,NA,NA,NA,NA,Other,Approved/Enrolled,84.23953247,1638.45
97374,BioA-S216-01,BioA,S216,01,2.4,2.6666666666666665,2.5,2.2857142857142856,NA,NA,NA,NA,Credit Recovery,Approved/Enrolled,12.35294118,470.8
97386,BioA-S216-01,BioA,S216,01,3.8,3.3333333333333335,4,3.5714285714285716,NA,NA,NA,NA,Other,Approved/Enrolled,54.15828877,71.0166
97441,FrScA-S216-02,FrScA,S216,02,4.4,NA,3,NA,NA,NA,NA,NA,Credit Recovery,Approved/Enrolled,23.13769752,208.6664
101031,FrScA-S217-01,FrScA,S217,01,4.6,3.6666666666666665,3,4.25,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,86.73,2406.4668
101162,AnPhA-S217-01,AnPhA,S217,01,5,4,4.5,4.625,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,88.45,2622.1668
101231,OcnA-S217-01,OcnA,S217,01,4.8,4.5,4,4.714285714285714,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,72.38,1004.3
101301,FrScA-S217-01,FrScA,S217,01,4.2,3.6666666666666665,3,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,89.14,2067.5328
101424,FrScA-S217-01,FrScA,S217,01,3.6,3,4,3.375,NA,NA,NA,NA,Other,Approved/Enrolled,92.16,1972.5331
101835,FrScA-S217-01,FrScA,S217,01,4,3,3,3.625,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,8.58,270.55
101941,FrScA-S217-02,FrScA,S217,02,4.6,2.6666666666666665,3,3.875,NA,NA,NA,NA,Course Unavailable at Local School,Dropped,NA,70.6
101986,OcnA-S217-01,OcnA,S217,01,4.4,3.3333333333333335,3.5,4,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,62.46,2072.3333
102083,FrScA-S217-01,FrScA,S217,01,5,4.333333333333333,4.5,4.75,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,89.08,1548.4834
102332,FrScA-S217-02,FrScA,S217,02,4.25,4,3,4.142857142857143,NA,NA,NA,NA,Learning Preference of the Student,Dropped,NA,2.4167
102461,OcnA-S217-01,OcnA,S217,01,5,4.666666666666667,4,4.875,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,70.16,1823.4998
103130,FrScA-S217-01,FrScA,S217,01,5,3.3333333333333335,2,4.375,NA,NA,NA,NA,Learning Preference of the Student,Approved/Enrolled,74.67,1844.8334
103186,FrScA-S217-02,FrScA,S217,02,3.8,3,3.5,3.5,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,79.33,866.4333
103268,FrScA-S217-03,FrScA,S217,03,4,3,3.5,3.625,NA,NA,NA,NA,Course Unavailable at Local School,Approved/Enrolled,60.28,1588.2167
