student_id,course_id,total_points_possible,total_points_earned,percentage_earned,subject,semester,section,Gradebook_Item,Grade_Category,FinalGradeCEMS,Points_Possible,Points_Earned,Gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,TimeSpent,TimeSpent_hours,TimeSpent_std
86580,BioA-S116-01,4560,3220,0.706140350877193,BioA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.16666667,5,5,M,5,5,4,5,5,5,5,5,5,5,1076.5339,17.942231666666665,-0.5337676531207963
86588,AnPhA-S116-01,4024,2812,0.6988071570576541,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,19.84,10,8,F,5,4,5,5,4,4,4,5,4,5,67.5167,1.1252783333333334,-1.2784680563219468
86608,AnPhA-S116-01,2534,1412,0.5572217837411207,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,79.8506672,5,4,M,3,2,4,4,3,3,4,4,3,4,3109.0664,51.817773333333335,0.9663334078615561
86618,FrScA-S116-03,1810,1400,0.7734806629834254,FrScA,S116,03,POINTS EARNED & TOTAL COURSE POINTS,NA,49.13013699,10,10,F,4,3,3,5,5,3,4,4,3,4,2393.4669,39.891115,0.4381885594084853
86627,FrScA-S116-02,1163,800,0.6878761822871883,FrScA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,61.2283105,50,NA,F,4,3,3,4,4,3,3,3,3,3,2193.117,36.551950000000005,0.29032125713523366
86679,FrScA-S116-01,1563,1233,0.7888675623800384,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,95.89041096,10,9,F,4,4,3,4,4,3,4,5,4,5,2267.4,37.79,0.3451454762377336
86689,OcnA-S116-02,4932,3316,0.6723438767234388,OcnA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,60.40201005,5,5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2457.1828,40.953046666666665,0.48521378000960513
86697,OcnA-S216-02,3898,3409,0.8745510518214469,OcnA,S216,02,POINTS EARNED & TOTAL COURSE POINTS,NA,90.07705193,10,8,M,5,3,3,5,5,4,5,5,3,5,1133.4667,18.891111666666667,-0.49174866760164915
86707,AnPhA-S116-02,11355,10026,0.8829590488771466,AnPhA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,85.9093344,15,11,F,4,2,3,4,4,3,4,4,1,2,2143.133,35.71888333333333,0.253430800804453
86709,FrScA-S116-01,1835,1577,0.8594005449591281,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,95.66210046,10,8,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600.3334,26.67222333333333,-0.1471798934210003
86758,OcnA-S116-01,2835,1775,0.6261022927689595,OcnA,S116,01,ATTEMPTED,NA,94.61474037,10,8,F,5,3,4,4,4,4,4,4,4,4,3742.8836,62.381393333333335,1.4341192140854977
86792,FrScA-S116-01,2316,1927,0.8320379965457686,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,99.08675799,5,NA,M,3,3,2,4,2,5,4,3,4,3,879.1998,14.65333,-0.6794091583749546
86793,FrScA-S116-01,10826,8760,0.8091631258082395,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,96.34703196,30,13.87,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.3835,9.223058333333334,-0.9198763476156404
